"Amount","Currency","Cost Center","Funding Pool","GL account","Register","Date","Description"
"-14572,30","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","1/02/2012","Test fin contract 1"
"-106090,00","MMK","MM005","MM-GFH-11","6005 Medical material","BNK-MMK-1","2/02/2012","Test fin contract 2"
"-34860,00","MMK","MM005","MM-GFH-11","6010 Laboratory material and reagents","BNK-MMK-1","3/02/2012","Test fin contract 3"
"-28380,00","MMK","MM005","MM-GFH-11","60150 Vaccines","BNK-MMK-1","4/02/2012","Test fin contract 4"
"-117520,00","MMK","MM005","MM-GFH-11","60151 Vaccination supplies","BNK-MMK-1","5/02/2012","Test fin contract 5"
"-100970,00","MMK","MM005","MM-GFH-11","6020 Cold chain supplies","BNK-MMK-1","6/02/2012","Test fin contract 6"
"-142740,00","MMK","MM005","MM-GFH-11","6025 Surgery material and supplies","BNK-MMK-1","7/02/2012","Test fin contract 7"
"-28380,00","MMK","MM005","MM-GFH-11","6030 Physiotherapy materials","BNK-MMK-1","8/02/2012","Test fin contract 8"
"-61950,00","MMK","MM005","MM-GFH-11","60350 Specialized Food","BNK-MMK-1","9/02/2012","Test fin contract 9"
"-69430,00","MMK","MM005","MM-GFH-11","60351 Non-specialized Food","BNK-MMK-1","10/02/2012","Test fin contract 10"
"-80010,00","MMK","MM005","MM-GFH-11","60400 Fuel et other carburants","BNK-MMK-1","11/02/2012","Test fin contract 11"
"-103800,00","MMK","MM005","MM-GFH-11","60401 Vehicle spare parts","BNK-MMK-1","12/02/2012","Test fin contract 12"
"-67570,00","MMK","MM005","MM-GFH-11","604020 Bed items (mosquito nets, etc)","BNK-MMK-1","13/02/2012","Test fin contract 13"
"-5460,00","MMK","MM005","MM-GFH-11","604021 Cooking and cleaning items","BNK-MMK-1","14/02/2012","Test fin contract 14"
"-60610,00","MMK","MM005","MM-GFH-11","604022 Personal hygiene and clothing","BNK-MMK-1","15/02/2012","Test fin contract 15"
"-106110,00","MMK","MM005","MM-GFH-11","604023 Water containers","BNK-MMK-1","16/02/2012","Test fin contract 16"
"-74560,00","MMK","MM005","MM-GFH-11","604024 Shelter (tents, plastic sheets,etc)","BNK-MMK-1","17/02/2012","Test fin contract 17"
"-132840,00","MMK","MM005","MM-GFH-11","604030 Construction materials (sand, cement, wood)","BNK-MMK-1","18/02/2012","Test fin contract 18"
"-37380,00","MMK","MM005","MM-GFH-11","604031 Reusable material and tools","BNK-MMK-1","19/02/2012","Test fin contract 19"
"-95,70","MMK","MM005","MM-GFH-11","604032 Watsan supplies","BNK-MMK-1","20/02/2012","Test fin contract 20"
"-48783,90","MMK","MM005","MM-GFH-11","60404 Various logistic supplies","BNK-MMK-1","21/02/2012","Test fin contract 21"
"-33860,00","MMK","MM005","MM-GFH-11","605000 Utilities","BNK-MMK-1","22/02/2012","Test fin contract 22"
"-146320,00","MMK","MM005","MM-GFH-11","605001 Cleaning materials","BNK-MMK-1","23/02/2012","Test fin contract 23"
"-37610,00","MMK","MM005","MM-GFH-11","605010 Stationaries and photocopies","BNK-MMK-1","24/02/2012","Test fin contract 24"
"-145130,00","MMK","MM005","MM-GFH-11","605011 Books and documentation","BNK-MMK-1","25/02/2012","Test fin contract 25"
"-90760,00","MMK","MM005","MM-GFH-11","605012 IT supplies","BNK-MMK-1","26/02/2012","Test fin contract 26"
"-33210,00","MMK","MM005","MM-GFH-11","605013 Presentation materials","BNK-MMK-1","27/02/2012","Test fin contract 27"
"-101700,00","MMK","MM005","MM-GFH-11","60502 Identification materials","BNK-MMK-1","28/02/2012","Test fin contract 28"
"-46560,00","MMK","MM005","MM-GFH-11","60503 Other supplies (toys, etc)","BNK-MMK-1","29/02/2012","Test fin contract 29"
"-98060,00","MMK","MM005","MM-GFH-11","606000 Land & Buildings","BNK-MMK-1","30/02/2012","Test fin contract 30"
"-34620,00","MMK","MM005","MM-GFH-11","606001 Temporary facilities","BNK-MMK-1","31/02/2012","Test fin contract 31"
"-134700,00","MMK","MM005","MM-GFH-11","606010 Medical equipment","BNK-MMK-1","1/02/2012","Test fin contract 32"
"-17730,00","MMK","MM005","MM-GFH-11","606011 Laboratory equipment","BNK-MMK-1","2/02/2012","Test fin contract 33"
"-115080,00","MMK","MM005","MM-GFH-11","606012 Cold chain equipment","BNK-MMK-1","3/02/2012","Test fin contract 34"
"-137210,00","MMK","MM005","MM-GFH-11","606013 Surgery equipment","BNK-MMK-1","4/02/2012","Test fin contract 35"
"-44450,00","MMK","MM005","MM-GFH-11","606014 Office equipment","BNK-MMK-1","5/02/2012","Test fin contract 36"
"-27930,00","MMK","MM005","MM-GFH-11","606015 IT equipment","BNK-MMK-1","6/02/2012","Test fin contract 37"
"-57370,00","MMK","MM005","MM-GFH-11","606016 Telecommunication equipment","BNK-MMK-1","7/02/2012","Test fin contract 38"
"-68710,00","MMK","MM005","MM-GFH-11","606017 Watsan equipment","BNK-MMK-1","8/02/2012","Test fin contract 39"
