id,level,name,type,parent_id,msfid
nom_1,0,LIB,Mandatory,,LIB
nom_2,0,SRV,Mandatory,,SRV
nom_3,1,A - Administration,Mandatory,LOG,LOG - A
nom_4,1,C - Camp,Mandatory,LOG,LOG - C
nom_5,1,D - Drugs,Mandatory,MED,MED - D
nom_6,1,E - Medical Equipment,Mandatory,MED,MED - E
nom_7,1,I - Inventory lists / checklists,Mandatory,MED,MED - I
nom_8,1,K - Lib Kits,Mandatory,LIB,LIB - K
nom_9,1,K - Log Kits,Mandatory,LOG,LOG - K
nom_10,1,K - Med Kits,Mandatory,MED,MED - K
nom_11,1,L - Library,Mandatory,LIB,LIB - L
nom_12,1,N - Nutrition,Mandatory,MED,MED - N
nom_13,1,P - Program support,Mandatory,LOG,LOG - P
nom_14,1,S - Medical renewable supplies,Mandatory,MED,MED - S
nom_15,1,T - Transport,Mandatory,LOG,LOG - T
nom_16,1,X - Services,Mandatory,SRV,SRV - X
nom_17,2,ADAP - Data Processing,Mandatory,A - Administration,LOG - A - ADAP
nom_18,2,AFOO - Food For Msf Staff,Mandatory,A - Administration,LOG - A - AFOO
nom_19,2,AFUR - Furnitures,Mandatory,A - Administration,LOG - A - AFUR
nom_20,2,ALIF - Team Life,Mandatory,A - Administration,LOG - A - ALIF
nom_21,2,ALST - Logistic Stationery,Mandatory,A - Administration,LOG - A - ALST
nom_22,2,AOFF - Office Equipment,Mandatory,A - Administration,LOG - A - AOFF
nom_23,2,ASTA - Stationery,Mandatory,A - Administration,LOG - A - ASTA
nom_24,2,CBUI - Building,Mandatory,C - Camp,LOG - C - CBUI
nom_25,2,CSEM - Semipermanent Shelter,Mandatory,C - Camp,LOG - C - CSEM
nom_26,2,CSHE - Shelters,Mandatory,C - Camp,LOG - C - CSHE
nom_27,2,CWAT - Water And Sanitation,Mandatory,C - Camp,LOG - C - CWAT
nom_28,2,CXHA - Spare Parts Hayward,Mandatory,C - Camp,LOG - C - CXHA
nom_29,2,DDGT - Diagnostic tests,Mandatory,D - Drugs,MED - D - DDGT
nom_30,2,DDIS - Disinfectants,Mandatory,D - Drugs,MED - D - DDIS
nom_31,2,DEXO - Ophtalmic Drugs For External Use,Mandatory,D - Drugs,MED - D - DEXO
nom_32,2,DEXT - Drugs External Use,Mandatory,D - Drugs,MED - D - DEXT
nom_33,2,DINF - Infusions,Mandatory,D - Drugs,MED - D - DINF
nom_34,2,DINJ - Injectable Drugs,Mandatory,D - Drugs,MED - D - DINJ
nom_35,2,DORA - Oral Drugs,Mandatory,D - Drugs,MED - D - DORA
nom_36,2,DVAC - Vaccines,Mandatory,D - Drugs,MED - D - DVAC
nom_37,2,EANE - Anaesthesia,Mandatory,E - Medical Equipment,MED - E - EANE
nom_38,2,EANT - Anthropometric Equipment,Mandatory,E - Medical Equipment,MED - E - EANT
nom_39,2,EDIM - Diagnostic Imaging equipment,Mandatory,E - Medical Equipment,MED - E - EDIM
